title,company,location,time_opened,link,applications,experience_level,job_type,role,sectors,description
Desenvolvedor(a) Front-End Júnior (Angular),B4A,"São Paulo, SP",Há 2 meses,https://br.linkedin.com/jobs/view/desenvolvedor-a-front-end-j%C3%BAnior-angular-at-b4a-3778915549?position=11&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=pDE58XwInA60ZqFfeMsH2Q%3D%3D&trk=public_jobs_jserp-result_search-card,Mais de 200 candidaturas,Não aplicável,Tempo integral,Engenharia e Tecnologia da informação,Atividades dos serviços de tecnologia da informação,"Aqui você vai encontrar:Oportunidade de aprender e de se desenvolver. Ambição, senso de urgência, muitos desafios, pessoas comprometidas, clima colaborativo e muita capacidade de realização.Se você é curioso (a), ambicioso (a), tem interesse em se desafiar diariamente, gosta de botar a mão na massa e busca trabalhar em um time dinâmico, que se comunica de forma clara e que pensa como um cientista, saiba que essa oportunidade é para você, vem ser Desenvolvedor(a) Front End Júnior (Angular) aqui na B4A!📍 Local de trabalho: Presencial Berrini - São Paulo, SP, Híbrido ou Remoto📃 Modelo de contratação: CLTAceita esse desafio?! Cadastre seu currículo e venha fazer parte do #teamB4A! Aproveite e conheça mais sobre a B4A em nosso site: www.b4a.com.brProcuramos alguém que:Tenha um propósito de vida e de carreira ambicioso e que não mede esforços para fazer o que precisa ser feito;Busca fazer parte de uma história inspiradora e de sucesso com pessoas dispostas a mudar o mundo;Gosta de trabalhar em equipe presencialmente juntos e tenha interesse por tecnologia, inovação e beleza;Tenha extremo senso de urgência, disposição e flexibilidade, e entenda que algumas coisas não podem esperarTenha auto responsabilidade: ""isso não é responsabilidade minha"", não funciona aqui!;Saiba se comunicar de forma clara e objetiva e lidar bem com pessoas;Tenha atenção concentrada e consiga trabalhar sob pressão;Seja dinâmico para resolver problemas e lidar com diversas atividades simultaneamente;Seja um profissional de alta performance com foco, organização e planejamento de atividades;E claro, se identifique a cultura B4A!Responsabilidades e atribuiçõesDesenvolvimento de produtos web e soluções digitaisDesenvolvimento de novas features e suporte, usando Angular 2+ e NodeManutenção de banco NoSQL usando o Firebase (Google)Requisitos e qualificaçõesFormação em Analise e Desenvolvimento de Sistemas, Ciência da Computação, Sistemas da Informação ou áreas correlatas;Prévia experiência em desenvolvimento front-end, principalmente em Angular 2+Familiaridade com ferramentas de controle de versão, como Git.Senso de urgência, capacidade analítica, facilidade com indicadores e comunicação objetivaPerfil hands on, organizado, proativo na identificação de oportunidades e insights e resolução de problemasConhecimento e prática no uso de plataformas de inteligência artificial como Chat GPT, Midjourney e Adobe FireflyConhecimento ou vontade de rápido aprendizado de java/google scriptInformações adicionaisO que oferecemos:💸Remuneração acima do mercado🤝Programa Vire Sócio B4A - queremos que você também seja sócio! Se você permanecer na B4A depois de 1 ano você será elegível para virar sócio e participar no sucesso da empresa!⏰ Horários flexíveis - para que consiga cumprir todos os seus compromissos🍱 Vale Refeição - com cartão CAJU💻 Auxílio home-office ou Auxílio transporte🤍 Convênio médico⛱ Férias remuneradas🐶 Pet friendly - nossos aumigos sempre pertinho de você🏋️‍♀️ Gympass - para que os nossos colaboradores cuidem da saúde física🛒 Descontos exclusivos em nossas plataformas📚 Descontos com parceiros educacionais - lifelong learningEtapas do nosso processo seletivo:✍ ️ Inscrição e avaliação inicial🤝 Entrevista com o time de People🤝 Entrevista com a Liderança🤝 Entrevista com a Direção ou CEO📣 Feedbacks e/ou contratação - transparência, empatia e respeito sempre!"
DESENVOLVEDOR FRONT END,Copafer Comercial Ltda,"Mauá, SP",Há 3 meses,https://br.linkedin.com/jobs/view/desenvolvedor-front-end-at-copafer-comercial-ltda-3782277971?position=12&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=pTj2cvZ3it6%2BQt0Z2ue7cw%3D%3D&trk=public_jobs_jserp-result_search-card,Mais de 200 candidaturas,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Atividades dos serviços de tecnologia da informação,"Responsabilidades e AtividadesDesenvolvimento e manutenção de soluções escaláveis para nossos produtos, visando a excelência técnica;Investigação de problemas e criação de soluções junto ao time de forma ágil;Realização de testes e melhorias contínuas de usabilidade, performance e alta disponibilidade dos serviços.Como Será Seu Dia a DiaEscrever código limpo, de fácil manutenção, utilizando as melhores práticas de desenvolvimento de software;Procurar sempre criar a melhor experiência de uso para o usuário final;Atuar como um team-player, comprometendo-se com os objetivos do time e trabalhando em harmonia com todos;Estar sempre crescendo e se desenvolvendo tecnicamente e profissionalmente;Participar de times geograficamente distribuídos.Do Que Você PrecisaTer habilidades em algoritmos e estruturas de dados;Conhecimento em engenharia de software, como princípios, boas práticas e padrões de arquitetura;Experiência com desenvolvimento de Aplicações Escaláveis;Vivência com algumas linguagens de programação, como: JavaScript, Node, React, Angular, Vue, Redux, JS Vanilla, etc;Prática com as ferramentas de versionamento (como GIT, SVN, etc.);Conhecimento em bancos de dados (MySQL, SQL, MongoDB, Oracle, etc.);Conhecimentos Que Te DestacamTer noções com alguma linguagem de programação Back End: Python, Golang, Java, Ruby, Elixir, Scala, Clojure, CC, C, etc.;RequisitosEnsino superior completo ou em andamento em Ciência da Computação, Engenharia da Computação, Análise e Desenvolvimento de Sistemas ou áreas afins de Tecnologia da Informação;"
Banco de Talentos IOB (Profissional de desenvolvimento de Software),"ao3, uma marca do Grupo IOB","São Paulo, SP",Há 8 meses,https://br.linkedin.com/jobs/view/banco-de-talentos-iob-profissional-de-desenvolvimento-de-software-at-ao3-uma-marca-do-grupo-iob-3631058064?position=13&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=mZC92mpgNKgWgUdCmzANPg%3D%3D&trk=public_jobs_jserp-result_search-card,Mais de 200 candidaturas,Assistente,Tempo integral,Recursos humanos,Atividades dos serviços de tecnologia da informação,"DESCRIÇÃOA IOB não vê limites quando o assunto é evolução e desenvolvimento.Nossa tradição nos trouxe até aqui, e nossa inovação nos leva a cada dia para o futuro.Mudamos, nos modernizamos, nos transformamos, e somos orgulhosos de quem nos tornamos.Toda essa experiência inspira nossos iobers, cria conexões e gera mais conhecimento.Esta vaga em especial será para você que tem interesse em trabalhar conosco e que ainda não encontrou uma posição adequada ao seu perfil.Por isso, estamos movimentando nosso banco de currículos para oportunidades futuras de profissionais com perfis de Desenvolvimento de Software em uma das linguagens.Habilidades e Atributos Para Ter SucessoExperiência em linguagem de programação Java/ .Net/ C#,/Delphi / AWS Cloud/ Foxpro ou Arquiteto de software. Conhecimento em Programação Orientada a Objetos; Conhecimento Básico em Análise de Impacto; Bom raciocínio lógico, matemático e dedutivo; Metodologias ágeis (Scrum/Kanban);Ser interativo e comunicativo num ambiente totalmente colaborativoComprometimento e responsabilidadeTer paixão pelo que faz, priorizando o trabalho em equipe.É importante que ao se candidatar você preencha o questionário que irá receber descrevendo para qual área em especial você busca uma oportunidade.Oque acontece depois?Nós iremos analisar seu perfil e entrar em contato assim que tivermos uma oportunidade compatível.Venha ser um iober!! Ser um iober é uma atitude. É ser reconhecido por trabalhar pelo cliente pela marca e para trazer valor ao mundo. É equilibrar humildade e ambição na busca pelo sucesso de forma ágil, é se adaptar às constantes transformações do mundo e do mercado.Um abraço e até breve!Time de Pessoas e Cultura IOBRegime de contratação de tipo: Efetivo – CLTJornada: Período IntegralÁrea e especialização profissional: Informática, TI, Telecomunicações - Programador / DesenvolvedorNível hierárquico: AnalistaREQUISITOSEscolaridade Mínima: Ensino SuperiorBENEFÍCIOSSeguro de VidaHome OfficePLRAssistência odontológicaVale-refeiçãoAssistência médicaAuxilio home officePlataforma Qulture RocksZenklubTreinamentos DiversosParcerias Educacionais"
Desenvolvedor(a) Web (Banco de Talentos),SERI.E DESIGN,"São Paulo, SP",Há 2 semanas,https://br.linkedin.com/jobs/view/desenvolvedor-a-web-banco-de-talentos-at-seri-e-design-3816180557?position=14&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=%2BpfKNvwYrp24Bkpd94Xl5A%3D%3D&trk=public_jobs_jserp-result_search-card,Mais de 200 candidaturas,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Serviços de design,"Description: Atribuições: Compreender e implementar as demandas / solicitações, suas particularidades e o layout proposto, utilizando-se das melhores práticas em HTML, CSS e JAVASCRIPT (e suas bibliotecas, principalmente React), além de linguagens como PHP, Laravel, Twig, Liquid, Scriban, Typescript etc; Garantir o cumprimento dos prazos de entrega previamente definidos; Comprometer-se com a excelente qualidade visual, desempenho, fluxo e funcionamento dos projetos nos diversos navegadores, dispositivos e tamanhos de tela (cross-browser e responsivo); Participar de reuniões, brainstorming e acompanhamento internos; Acompanhar, interagir e auxiliar a própria equipe e as outras equipes, nos canais da empresa.RequirementsEnsino Técnico ou Superior em Ciência da Computação, Análise e Desenvolvimento de Sistemas, Engenharia da Computação ou áreas afins (completo ou cursando);Experiência e domínio em HTML, CSS, Javascript e suas bibliotecas, principalmente React;Conhecimento aplicável em PHP, Liquid, Typescript, Twig;Conhecimento em Wordpress;Experiência como desenvolvedor(a) front-end, trabalhando em plataformas de e-commerce;Noções de SEO e UX;Habilidades para trabalhar em equipe.Desired SkillsConhecimento em Vtex IO;Conhecimento em Vue;Conhecimento em GA4 e GTM;Conhecimento em Docker."
Desenvolvedor(a) Python (Híbrido / São Paulo-SP),Singularis RH,"São Paulo, SP",Há 9 horas,https://br.linkedin.com/jobs/view/desenvolvedor-a-python-h%C3%ADbrido-s%C3%A3o-paulo-sp-at-singularis-rh-3838203101?position=15&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=LAj5aSTLfg1tKu58XuuQaQ%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Não aplicável,Tempo integral,Engenharia e Tecnologia da informação,Fornecimento e gestão de recursos humanos,"Quais Serão As Suas ResponsabilidadesAtuar no desenvolvimento de novas funcionalidades, correção de bugs e manutenção de código backend utilizando Python;Gerenciamento do processamento de múltiplos micro serviços aplicando práticas CI/CD;Gerenciamento e armazenamento de dados em banco não relacional;Criação e manutenção de aplicações serverless utilizando Lambda.O Que Você Precisa Para Concorrer a Essa OportunidadeGraduação completa ou cursando em Tecnologia da Informação ou áreas afins; Vivência com Python;Experiência com Scrum;Conhecimento em construção de APIs;Conhecimento em Git e Git flow;Conhecimento em Elasticsearch ou em bancos não relacionais e na plataforma AWS.O Que a Empresa Oferece15 dias de descanso remunerado por ano.Regime De ContrataçãoPessoa JurídicaDepartamentoDesenvolvimento"
Desenvolvedor(a) Software,Brivia | The Creative Smartech,"São Paulo, SP",Há 2 meses,https://br.linkedin.com/jobs/view/desenvolvedor-a-software-at-brivia-3798753821?position=16&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=4Fdg0ihUk79qkhatu2AdkQ%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Publicidade e propaganda,"Job DescriptionVaga para nosso BANCO DE TALENTOSProcuramos Desenvolvedor(a) Software, profissional que desenvolva novos projetos ou faz manutenção e melhoria de softwares ou aplicações web., especialista em programação.Somos inquietos, somos desbravadores e estamos em constante transformação.Por isso, estamos na busca constante de crescimentos do nosso time com profissionais inovadores, que desafiam os limites e estejam preparados para embarcar em uma cultura totalmente nômade.SOMOS NÔMADES, NOSSAS VAGAS SÃO PARA QUALQUER LUGAR!Seja qual for o seu gênero, orientação sexual, idade, raça, etnia, crença ou deficiência, todos são bem-vindos no nosso time.Responsibilities And Assignments Profissional especializado em linguagem de programação e segmento de atuação de mercado, como front, back, análise, engenharia, mobile, cloud, etc.  Programar, codificar e testar sistemas;  Executar a manutenção dos sistemas, fazendo eventuais correções necessárias, visando atender às necessidades dos usuários;  Desenvolver trabalhos de montagem, depuração e testes de programas, executando serviços de manutenção nos programas já desenvolvidos. Requirements And QualificationsFront end - linguagens de interface como HTML, CSS, Javascript, Angular, React, Vue.js , etc;Back end - linguagens de retaguarda como PHP, .NET, Java, Node.js , .NET Core, etc;Full Stack - desenvolvedor que atua tanto em back quanto em front, mas apenas em algumas linguagens;Mobile - desenvolve aplicativos para as lojas, com tecnologias nativas como Android e iOS, ou hibridas como iOnic, Xamarim, React Native, Flutter, etc;Muita vontade para desbravar.Additional InformationOs desbravadores tem:Horário flexível, aqui você é responsável por se organizar;Cultura ágil, aqui todos os desbravadores utilizam metodologias ágeis no dia a dia;No dress code, seja 100% você;Vale transporte;Vale refeição ou alimentação FLEX;Gympass;Plano odontológico Bradesco;Plano de saúde Amil;Seguro de vida Metlife;Bem estar psicológico gratuito;Brivia Academy, treinamentos para aperfeiçoamento;Bônus salarial;Programa de desenvolvimento de idiomas;Parceria e descontos em Universidades;Associação e descontos na ANAMID;E o melhor de todos: trabalhe de onde você quiser, somos nômades e estamos 100% em home office!SOMOS UM TIME INQUIETO E QUESTIONADOREstamos entre as melhores agências para se trabalhar no Brasil!Na Brivia, você precisa estar com a mente e o passaporte sempre abertos. Afinal, nós vamos onde nossos clientes, seus problemas e nossas soluções nos levam.Sim, temos sedes no Brasil, na America Latina e na Europa, mas acreditamos no trabalho remoto. Temos b.a.s.e em 4 estados brasileiros, mas com profissionais espalhados por mais de 10 estados. Possuímos um escritório estratégico em Lisboa, Portugal, além de escritórios no Chile, Argentina e Colômbia. Mas não temos endereço fixo. Acreditamos no trabalho remoto e na autonomia profissional para tomar decisões em busca de novos resultados. Estamos em todos os lugares!Buscamos sempre ter entre nós pessoas realizadas e valorizadas e nos esforçamos todos os dias para fazer da Brivia um lugar próspero e rico em possibilidades.Se identifica? Vem pra Brivia, vem desbravar o Digital Branding com a gente and be nômade!"
Desenvolvedor Backend Java Jr,Ewave do Brasil,"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/desenvolvedor-backend-java-jr-at-ewave-do-brasil-3836948728?position=18&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=%2B9gdaxJs5nqpmFyo6su%2FeQ%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Publicação na Internet,Requisitos Microserviços API's Firt API's Rest Spring Boot CI / CD Teste Unitário Versionamento via Git SCRUM.BeneficiosFormação Acadêmica:Não informadoExperiênciaSalário:A combinarCargoDesenvolvedor BackendEmpresaEwave do BrasilDesenvolvimento de softwares.RamoInformática/ Tecnologia(EJ)
Estágio de Desenvolvedor JAVA,Élin Duxus Consultoria,São Paulo e Região,Há 1 mês,https://br.linkedin.com/jobs/view/est%C3%A1gio-de-desenvolvedor-java-at-%C3%A9lin-duxus-consulting-3813908653?position=19&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=%2FalxEV6rBQ%2BIhlkNtqiG0g%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Treinamento e suporte em tecnologia da informação,"Capacitar-se para desempenhar as funções de níveis superiores através do contato crescente com situações e sistemas relacionados ao desenvolvimento de aplicações. Conhecimento Linguagem Java, Spring, JPA / Hibernate, MySQL, HTML, CSS, Bootsrap, Jquery, VraptorDiferenciais: Experiência Anterior, Testes Unitários (Junit), Conhecimento em Linux, Git, VueJs, Metodologia ágil (SCRUM), Oracle / SQL SERVER."
Desenvolvedor,Before,São Paulo e Região,Há 1 semana,https://br.linkedin.com/jobs/view/desenvolvedor-at-before-3823922078?position=20&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=9FV7Nl0mmmaIRMI%2F%2F5djQQ%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,"Tecnologia, Informação e Internet","Como desenvolvedor back-End senior, você será responsável por garantir a funcionalidade e melhoria das aplicações.Em muitos casos, trabalhará com outras equipes para integrar sistemas e solucionar problemas.Espera-Se que você tenha uma experiência sólida e habilidades de programação avançadas."
Desenvolvedor Front End,Prime Interway,"São Paulo, SP",Há 3 semanas,https://br.linkedin.com/jobs/view/desenvolvedor-front-end-at-prime-interway-3816017936?position=21&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=La37xDldG2NuB%2BhwR6MwLQ%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Pleno-sênior,Tempo integral,Tecnologia da informação,Atividades dos serviços de tecnologia da informação,"DescriçãoVaga para Desenvolvedor Front EndEstamos em busca de um Desenvolvedor Front End para se juntar à nossa equipe de tecnologia. O candidato deve ter experiência em desenvolvimento de interfaces de usuário e ser capaz de trabalhar em equipe para entregar projetos de alta qualidade.Responsabilidades Desenvolvimento de Aplicações Frontend Web utlizando Vue3 com Typescript; Trabalhar em colaboração com designers e desenvolvedores back-end para implementar soluções de software; Manutenção de Aplicações Web; Code Review; Manter-se atualizado com as tendências e tecnologias do mercado; Participação em Reuniões de AlinhamentoRequisitos Experiência comprovada em desenvolvimento de interfaces de usuário; Conhecimento sólido em Vue3 HTML, CSS, Javascript/Typescript, Biblioteca Vuetify ou Bootstrap, Composables, Design Patterns, Principios SOLID, TDD; Experiência com frameworks front-end, como React, Vue ou Angular; Conhecimento em metodologias ágeis de desenvolvimento de software e Git.Oferecemos Ambiente de trabalho descontraído e colaborativo; Oportunidade de trabalhar em projetos desafiadores e inovadores; Salário competitivo.Modelo 100% presencial - Av PaulistaRegime PJ;Plano de saúde;Recesso remunerado;Remuneração (pretensão)"
Desenvolvedor Java Junior (360667),Grupo Travelex Confidence,"São Paulo, SP",Há 2 semanas,https://br.linkedin.com/jobs/view/desenvolvedor-java-junior-360667-at-grupo-travelex-confidence-3825380007?position=22&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=47ZfkykWlYinfnZanFMxqg%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Atividades de serviços financeiros,"Como é o ambiente de trabalho?A Travelex é hoje uma especialista em câmbio reconhecida mundialmente, marcando presença em mais de 20 países. No Brasil, o Grupo é formado pelo Travelex Bank, primeiro banco exclusivo para operações de câmbio regulamentado pelo Banco Central no País, e pela corretora Travelex Confidence, com mais de 20 anos de experiência no setor. Dentre as operações realizadas pelo Grupo, estão as operações cross-borders como transferências e pagamentos internacionais, importação, exportação, Mass Payments, banknotes, compra e venda de mais de 20 tipos de moedas estrangeiras, troca de cheques internacionais, venda de cartões pré-pagos, seguro viagem, chip internacional para celular, entre outros. Clientes do Grupo Travelex Confidence contam ainda com atendimento omnichannel incluindo loja online, aplicativo exclusivo, internet banking, mesas de operações com atendimento por telefone ou WhatsApp e mais de 110 pontos de atendimento espalhados por todo território nacional.Nosso propósito é proporcionar experiência de valor para nossos clientes com Transações de valor, Parcerias de valor e Relações de valor.Esse é o nosso DNA! Nós somos... Versáteis, atendemos todas as necessidades do nosso cliente. Apaixonados, entregamos o nosso melhor todos os dias. Líderes, somos especialistas e o câmbio está na nossa essência. Ousados, criamos sempre novas oportunidades de negócio. Responsáveis, somos confiáveis e éticos.Nossa paixão pelo câmbio continua sendo o que nos move, e criar experiências valiosas e valorosas todos os dias só faz crescer a vontade de sermos ainda melhores.Já pensou em contribuir para gerar valores e realizar sonhos?Se sim, essa vaga é sua!Responsabilidades da OportunidadePrograma, desenvolve e implanta sistemas em linguagem Java.Realiza correções em sistemas para atender às necessidades dos usuários. Desenvolve trabalhos de montagem, depuração e testes de programas já desenvolvidosRequisitosCursando Ciência da Computação, Engenharia de Software, Tecnologia da Informação ou área relacionadConhecimento em linguagens de programação: Familiaridade com pelo menos uma linguagem de programação é fundamental.Habilidades em desenvolvimento web ou móvelBancos de dados: Compreensão básica de bancos de dados relacionais (SQL) e, cada vez mais, de bancos de dados não relacionais (NoSQL).Versionamento de código: Familiaridade com sistemas de controle de versão,Resolução de problemas: Capacidade de resolver problemas de forma lógica e eficiente.Trabalho em equipe: Capacidade de colaborar com outros membros da equipe, seguir orientações e comunicar-se de forma eficaz.Aprendizado contínuo: Disposição para aprender novas tecnologias e acompanhar as tendências do setor.Projetos pessoais ou experiência prática: Desenvolvimento de projetos pessoais, estágios ou trabalhos freelancers podem ser considerados um diferencial.Boas práticas de desenvolvimento: Conhecimento em práticas de desenvolvimento ágil, testes unitários e boas práticas de codificação é valorizado.BenefíciosAssist. MédicaAssist. OdontológicaSeguro de VidaVale-AlimentaçãoVale-RefeiçãoVale-Transporte"
Desenvolvedor Frontend,SeedTS,"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/desenvolvedor-frontend-at-seedts-3836905655?position=23&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=SEXF6%2Fvjq%2FQZ3NcTxsc0UQ%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Publicação na Internet,"O que você vai fazer no seu dia a dia: Como mago do FrontEnd, você desenvolverá UIs fantásticas! Em especial atuando em um projeto novinho em folha. Nada de manutenção, tudo é filé! Implementar componentes reutilizáveis, seguindo princípios como SOLID, DRY E KISS Como desenvolvedor de UIs, consumirá APIs de arquiteturas modernas, englobando Kafka, API management, Microsserviços, Aplicações de ML, etc. Sentiu a responsa? Mas, não se assuste, pois sabemos que o seu negócio é FrontEnd! Qualifications - O que estamos buscando? Profissionais cursando ou com formação na área de TI Experiência galática de React Native Conhecimento de Testes Unitários (tipo com Karma e Jasmine) Comer com farinha HTML5, CSS3, JS (es2015+) Manjar ou ter familiaridade com FlexBox e CSS Grid Saber bem de Pré-processador SASS (.scss) Experiência com integrações de API’s Saber ler um Swagger como quem lê uma revista Vivência em projetos com metodologia ágil Utilizar ferramentas de gestão de projetos (Jira, Trello, etc) Conhecimento de Git, Jenkins e processos de IC Habilidades: Atuar dentro de projetos com time multidisciplinar Programar, desenvolver, implementar sistemas rapidão Entender ou ter noções de todo o ciclo do desenvolvimento de um sistema Promover inovação nos processos do dia a dia Compartilhar conhecimentos e desejo de se tornar um mostro sagrado de conhecimento! Local de atuação: Brasil Trabalho 100% remoto e com direito de brincar com o seu cachorro no almoço!BeneficiosFormação Acadêmica:Não informadoExperiênciaSalário:A combinarCargoProgramadorEmpresaSeedtsConsultoria em TI e desenvolvimento de software.RamoInformática/ Tecnologia(EJ)"
Desenvolvedor(a) Frontend Junior | Vue | Brasil,Deloitte,"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/desenvolvedor-a-frontend-junior-vue-brasil-at-deloitte-3836989998?position=24&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=1B8oQ%2BUNUHg7yHMx92pDNw%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Atividades de consultoria em gestão empresarial,"DescriptionVocê na DeloitteJá pensou atuar em uma organização que cresce exponencialmente, com os maiores players de tecnologia do Brasil e no Mundo? Na Deloitte, buscamos pessoas que queiram gerar impactos positivos todos os dias, porque temos o compromisso de impulsionar nossos talentos, clientes, parceiros de negócio e a sociedade. Alavancamos talentos para que possam se desenvolver em um ambiente colaborativo, com times diversos, e que tragam energia, empoderamento, interação e conexões.Liderar o caminho, fomentar a inclusão, colaborar para mensurar impactos, servir com integridade e cuidar uns dos outros são pontos essenciais e inegociáveis para fortalecermos ainda mais o nosso propósito junto com você!Você terá a oportunidade de evoluir sua carreira na maior organização de serviços profissionais do mundo atuando como Analista de Tecnologia no time do Financial Advisory. Se você é um(a) desenvolvedor(a) de software apaixonado(a) por criar interfaces incríveis e interativas, esta oportunidade é para você!Estamos procurando um(a) talentoso(a) desenvolvedor(a) frontend com experiência em Vue.js para se juntar à nossa equipe. Se você possui habilidades sólidas em Vue.js e está sempre buscando maneiras de melhorar e inovar, venha fazer parte de um ambiente dinâmico e colaborativo, onde você terá a chance de contribuir para projetos desafiadores e impactar grandes players e projetos de grande porte. Na sua rotina, você iráDesenvolver e manter aplicativos web frontend utilizando Vue.jsColaborar com designers e desenvolvedores backend para criar experiências de usuário excepcionaisOtimizar o desempenho das aplicações para garantir uma experiência de usuário suave e responsivaParticipar ativamente de revisões de código e contribuir para a melhoria contínua do processo de desenvolvimentoInvestigar e resolver problemas técnicos, bem como propor soluções inovadorasEstar atualizado com as melhores práticas e tendências em desenvolvimento frontendAcreditamos na força dos talentos que preparamos. Eles transformam de fato, impactam organizações, impulsionam mais talentos e criam oportunidades. Que tal fazer parte da maior organização de serviços profissionais do mundo? Escolha seu impacto. RequirementsO que precisa para você se candidatar à vaga?Experiência comprovada no desenvolvimento frontend usando Vue.jsFamiliaridade com bibliotecas e ferramentas frontend, como Vuex, Vue Router, Webpack, etc.Conhecimento sólido de HTML5, CSS3 e JavaScript modernoExperiência em integração de APIs RESTfulCapacidade de escrever código limpo, modular e escalávelBenefitsO que estará disponível para você?Desenvolvimento profissional É claro que cuidaríamos do seu desenvolvimento aqui na Deloitte! Queremos que você alcance seus objetivos profissionais e pessoais e, por isso, contamos com acesso a plataformas online de aprendizado, plataforma de idiomas com mais de 7.500 conteúdos e cerca de 60 cursos divididos por nível, área de atuação, habilidades profissionais e interesses, Universidade Corporativa e até uma plataforma que reúne diversas instituições de ensino, fornecendo descontos exclusivos para profissionais Deloitte e seus dependentes. Além disso, oferecemos um plano mentorias com profissionais da Deloitte para que você possa ter uma visão complementar e direcionamentos sobre o seu crescimento. É ótimo ter uma pessoa mentora, não é mesmo?Cuidados com o seu bem-estar Aqui na Deloitte, acreditamos que saúde e bem-estar não são apenas projetos, e sim uma mudança de cultura. Queremos que você coloque em prática todo o seu talento e desenvolva uma carreira de sucesso com a gente, com equilíbrio entre Mente, Corpo e Propósito. Para isso, contamos com mais de 30 benefícios, como:Serviço de telemedicina para que você consiga fazer uma pré-avaliação sem precisar sair de casa!  Family Strategy: programa destinados à profissionais gestantes e futuros papais que terão todo apoio possível neste momento tão especial Gympass para colocar os exercícios físicos em dia Dia de folga no mês do seu aniversário, para celebrar uma das pessoas mais importantes de sua vida Canal de apoio psicológico e Serviço Social   (Mais) Benefícios Assistência médica e odontológica! Para que você faça check-ups e cuide de você, em primeiro lugar*  Participação nos lucros. Afinal, sem os nossos talentos, não poderíamos crescer exponencialmente Auxílio-internet, para apoiar no trabalho em modelo híbrido Seguro de vida*  Vale refeição / alimentação*  Pacote de benefícios flexíveis: você receberá pontos e poderá distribui-los entre as opções que melhor se adequam às suas necessidades de acordo com as regras do programa.Oportunidade de fazer parte de uma cultura inclusiva Você pode ser quem realmente é com oportunidade igual de crescimento. Para reforçar esse compromisso, desenvolvemos a estratégia global de D&I com os 8 pilares – Origens, Jovem Aprendiz, STEM, Delas, LGBT+, Inclui, No Borders e Geração 50+.  Destacamos que todas as nossas vagas estão abertas ao público PcD.  Esperamos você neste time!"
